Organization,Certification Track,Exam,Exam Name,Format,Exam Date Start,Exam Date End,Registration Deadline ,Year
CAS,ACAS,MAS-I,Modern Actuarial Statistics I,CBT,28-Jan-26,03-Feb-26,08-Jan-26,2026
CAS,ACAS,MAS-II,Modern Actuarial Statistics II,CBT,28-Jan-26,03-Feb-26,08-Jan-26,2026
CAS,ACAS,CAS-PCPA,Property & Casualty Predictive Analytics,CBT,16-Mar-26,31-Mar-26,,2026
CAS,ACAS,CAS-5,Basic Techniques for Ratemaking and Estimating Claim Liabilities,CBT,14-Apr-26,21-Apr-26,,2026
CAS,ACAS,CAS-6,Regulation and Financial Reporting (Canada),CBT,14-Apr-26,21-Apr-26,,2026
CAS,ACAS,CAS-6,Regulation and Financial Reporting (United States),CBT,14-Apr-26,21-Apr-26,,2026
CAS,FCAS,CAS-7,Advanced Estimation of Claims Liabilities,CBT,14-Apr-26,21-Apr-26,,2026
CAS,FCAS,CAS-8,Advanced Ratemaking,CBT,14-Apr-26,21-Apr-26,,2026
CAS,FCAS,CAS-9,Risk Management for Actuaries,CBT,14-Apr-26,21-Apr-26,,2026
CAS,ACAS,MAS-I,Modern Actuarial Statistics I,CBT,22-Apr-26,01-May-26,25-Mar-26,2026
CAS,ACAS,MAS-II,Modern Actuarial Statistics II,CBT,22-Apr-26,01-May-26,25-Mar-26,2026
CAS,ACAS,CAS-PCPA,Property & Casualty Predictive Analytics,CBT,15-Jun-26,30-Jun-26,,2026
CAS,ACAS,MAS-I,Modern Actuarial Statistics I,CBT,29-Jul-26,04-Aug-26,09-Jul-26,2026
CAS,ACAS,MAS-II,Modern Actuarial Statistics II,CBT,29-Jul-26,04-Aug-26,09-Jul-26,2026
CAS,ACAS,CAS-PCPA,Property & Casualty Predictive Analytics,CBT,16-Sep-26,30-Sep-26,,2026
CAS,ACAS,CAS-5,Basic Techniques for Ratemaking and Estimating Claim Liabilities,CBT,19-Oct-26,27-Oct-26,,2026
CAS,ACAS,CAS-6,Regulation and Financial Reporting (Canada),CBT,19-Oct-26,27-Oct-26,,2026
CAS,ACAS,CAS-6,Regulation and Financial Reporting (International),CBT,19-Oct-26,27-Oct-26,,2026
CAS,ACAS,CAS-6,Regulation and Financial Reporting (United States),CBT,19-Oct-26,27-Oct-26,,2026
CAS,FCAS,CAS-7,Advanced Estimation of Claims Liabilities,CBT,19-Oct-26,27-Oct-26,,2026
CAS,FCAS,CAS-8,Advanced Ratemaking,CBT,19-Oct-26,27-Oct-26,,2026
CAS,FCAS,CAS-9,Risk Management for Actuaries,CBT,19-Oct-26,27-Oct-26,,2026
CAS,ACAS,MAS-I,Modern Actuarial Statistics I,CBT,28-Oct-26,05-Nov-26,29-Sep-26,2026
CAS,ACAS,MAS-II,Modern Actuarial Statistics II,CBT,28-Oct-26,05-Nov-26,29-Sep-26,2026
CAS,ACAS,CAS-PCPA,Property & Casualty Predictive Analytics,CBT,16-Dec-26,31-Dec-26,,2026
CAS,CERA,SP9,Enterprise Risk Management Specialist Principles,CBT,,,01-Feb-26,2026
CAS,CERA,SP9,Enterprise Risk Management Specialist Principles,CBT,,,22-Jun-26,2026
SOA,ASA,FAM,Fundamentals of Actuarial Mathematics (FAM) Exam,CBT,23-Oct-25,29-Oct-26,2026-09-22 0:00,2026
SOA,FSA,FSA-GH101,GH 101 Benefits and Pricing,CBT,03-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-GI101,GI 101 Ratemaking and Reserving,CBT,03-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-ILA101,ILA 101 Pricing and Introduction to Valuation and Risk Management,CBT,03-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-INV201,INV 201 Quantitative Finance,CBT,03-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-RET101,RET 101 Retirement Plan Design,CBT,03-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-CFE201,CFE 201 Corporate Finance,CBT,04-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-GH201,"GH 201-C Valuation and Regulation, Canada",CBT,04-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-GH201,"GH 201-U Valuation and Regulation, U.S.",CBT,04-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-GI201,"GI 201 Operational, Financial, Regulatory and Legal",CBT,04-Mar-26,,2026-02-16 23:59,2026
SOA,FSA,FSA-ILA201,"ILA 201-I Valuation and Advanced Product and Risk Management, International",CBT,04-Mar-26,,2026-02-16 23:59,2026
